SubTopic2,cProjects,Country Name,gGrade,Indicator,Time,Latitude (generated),Longitude (generated),Fact Value
2 Reading,PISA,Georgia,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,42.05,43.576,401.288146973
2 Reading,PISA,France,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,46.656,2.543,499.306152344
2 Reading,PISA,Finland,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,62.716,26.192,526.424743652
2 Reading,PISA,Estonia,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,58.777,25.977,519.142883301
2 Reading,PISA,Dominican Republic,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,19.01,-70.1685,357.737701416
2 Reading,PISA,Denmark,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,56.113,9.096,499.814575195
2 Reading,PISA,Czech Republic,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,49.848,15.2812,487.250152588
2 Reading,PISA,Croatia,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,45.754,16.385,486.863189697
2 Reading,PISA,Costa Rica,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,10.126,-84.075,427.487548828
2 Reading,PISA,Colombia,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,3.794,-73.606,424.905181885
2 Reading,PISA,China,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,35.1753,99.3877,493.941223145
2 Reading,PISA,Chile,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,-23.176,-69.201,458.570861816
2 Reading,PISA,Canada,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,59.2067,-111.1937,526.667785645
2 Reading,PISA,Bulgaria,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,42.625,24.521,431.717529297
2 Reading,PISA,Brazil,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,-11.694,-48.978,407.348602295
2 Reading,PISA,Belgium,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,50.6745,4.4588,498.524200439
2 Reading,PISA,Austria,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,47.65,14.705,484.865600586
2 Reading,PISA,Australia,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,-24.578,133.582,502.900573730
2 Reading,PISA,Algeria,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,28.6045,2.64,349.859252930
2 Reading,PISA,Albania,High Grade,"Harmonized Learning Outcomes (PISA based): reading, 8th grade, total",2015,40.654,20.076,405.258758545
