SubTopic2,cProjects,Country Name,gGrade,Indicator,Time,Latitude (generated),Longitude (generated),Fact Value
3 Science,PISA,France,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,46.656,2.543,520.264892578
3 Science,PISA,Finland,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,62.716,26.192,557.771423340
3 Science,PISA,Estonia,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,58.777,25.977,561.484497070
3 Science,PISA,Dominican Republic,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,19.01,-70.1685,348.581512451
3 Science,PISA,Denmark,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,56.113,9.096,527.579711914
3 Science,PISA,Czech Republic,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,49.848,15.2812,518.007629395
3 Science,PISA,Croatia,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,45.754,16.385,499.677825928
3 Science,PISA,Costa Rica,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,10.126,-84.075,441.044860840
3 Science,PISA,Colombia,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,3.794,-73.606,436.967407227
3 Science,PISA,China,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,35.1753,99.3877,544.231445313
3 Science,PISA,Chile,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,-23.176,-69.201,469.790039063
3 Science,PISA,Canada,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,59.2067,-111.1937,554.663940430
3 Science,PISA,Bulgaria,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,42.625,24.521,468.545440674
3 Science,PISA,Brazil,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,-11.694,-48.978,421.152038574
3 Science,PISA,Belgium,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,50.6745,4.4588,527.645751953
3 Science,PISA,Austria,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,47.65,14.705,520.327819824
3 Science,PISA,Australia,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,-24.578,133.582,536.048278809
3 Science,PISA,Algeria,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,28.6045,2.64,394.941070557
3 Science,PISA,Albania,High Grade,"Harmonized Learning Outcomes (PISA based): science, 8th grade, total",2015,40.654,20.076,449.050933838
